"values"
"1.48E-4"
"1.5E-4"
"1.22E-4"
"1.52E-4"
"3.2E-4"
"8.6E-4"
"0.002552"
"0.00725"
"0.018388"
"0.038352"
"0.07344"
"0.122778"
"0.182458"
"0.247454"
"0.309214"
"0.366184"
"0.411432"
"0.44875"
"0.481362"
"0.512498"
"0.546348"
"0.586568"
"0.634598"
"0.690162"
"0.75182"
"0.813936"
"0.875202"
"0.93814"
"1.001842"
"1.066688"
"1.134244"
"1.208616"
"1.290078"
"1.373486"
"1.463576"
"1.558836"
"1.660618"
"1.769122"
"1.890784"
"2.019408"
"2.16746"
"2.326278"
"2.509604"
"2.71277"
"2.957916"
"3.251786"
"3.620206"
"4.1304"
"4.89558"
"6.532162"
